,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Bedford,0.17103092196526165,0.07853489033940167,0.17857142857142855
1,Gloucester,0.31638454904896285,0.2236808610808953,0.3214285714285714
2,Exeter,0.21376235213666905,0.0365510679796394,0.17857142857142855
3,Winchester,0.23032786396506194,0.06089811309864283,0.19642857142857142
4,1Messenger,0.041921529709697335,0.0,0.03571428571428571
5,2Messenger,0.041921529709697335,0.0,0.03571428571428571
6,3Messenger,0.0670145345861463,0.0005328005328005328,0.05357142857142857
7,Alencon,0.16540495573852304,0.036044929571074476,0.14285714285714285
8,Charles,0.21445380799855504,0.0449003171773165,0.19642857142857142
9,Reignier,0.1700535175558938,0.03578251194578945,0.14285714285714285
10,Bastard,0.09710658866939324,0.0006368631368631368,0.08928571428571427
11,Pucelle,0.2315076119292242,0.16405616133316062,0.26785714285714285
12,1Warder,0.04377699817000195,0.0,0.03571428571428571
13,1Servingman,0.0854434513323163,0.03747399786360825,0.10714285714285714
14,2Warder,0.009308547667043154,0.0,0.017857142857142856
15,Woodville,0.03446845050295879,0.0,0.017857142857142856
16,Servingmen,0.05956145537940776,0.0,0.03571428571428571
17,Mayor,0.12054716517230075,0.0,0.07142857142857142
18,Boy,0.003476322696212134,0.03571428571428571,0.03571428571428571
19,Gunner,0.0003787462074780092,0.0,0.017857142857142856
20,Salisbury,0.031529205710754606,0.07012987012987013,0.05357142857142857
21,Talbot,0.25167418226948407,0.4468995778372914,0.375
22,Gargrave,0.03424803599201073,0.000974025974025974,0.05357142857142857
23,Glansdale,0.0311504595032766,0.0,0.03571428571428571
24,4Messenger,0.027419187363573915,0.0,0.017857142857142856
25,Sentinel,0.04598545155319207,0.03571428571428571,0.05357142857142857
26,Sergeant,0.005010033600338808,0.0,0.017857142857142856
27,Burgundy,0.10989570741487123,0.009015050843058358,0.10714285714285714
28,EnglishSoldier,0.02522216484720073,0.0,0.017857142857142856
29,5Messenger,0.042931031776371954,0.0008658008658008658,0.05357142857142857
30,Captain,0.08132861317270661,0.004012237762237762,0.07142857142857142
31,Countess,0.03248203725804575,0.03571428571428571,0.05357142857142857
32,Porter,0.0035388714463796362,0.0,0.017857142857142856
33,Plantagenet,0.3335628939239623,0.16660334695493614,0.30357142857142855
34,Suffolk,0.22422410452677274,0.021132678316974282,0.1607142857142857
35,Somerset,0.25304991004561034,0.02527653623432844,0.19642857142857142
36,Warwick,0.2771105139978925,0.04691955752533332,0.21428571428571427
37,Vernon,0.1685851964837269,0.026286440831895377,0.125
38,Lawyer,0.08227506143936822,0.0,0.05357142857142857
39,Keeper,0.0040066299237424335,0.0,0.017857142857142856
40,Mortimer,0.036776609386147484,0.03571428571428571,0.03571428571428571
41,King,0.282673610028375,0.06563296822225394,0.21428571428571427
42,2Servingman,0.05245788900873124,0.0,0.05357142857142857
43,3Servingman,0.07968187415400167,0.003559161702958695,0.07142857142857142
44,FrenchSoldier,0.02830607814527802,0.0,0.03571428571428571
45,Watch,0.02830607814527802,0.0,0.03571428571428571
46,Falstaff,0.07074809778100478,0.0012788600288600289,0.05357142857142857
47,Basset,0.11997087097849159,0.0005331609227713123,0.07142857142857142
48,General,0.027419187363573915,0.0,0.017857142857142856
49,6Messenger,0.0363401083516568,0.0,0.017857142857142856
50,Lucy,0.11249489928909219,0.0015284715284715283,0.07142857142857142
51,John,0.027419187363573915,0.0,0.017857142857142856
52,Servant,0.027419187363573915,0.0,0.017857142857142856
53,Legate,0.025093004876448964,0.0,0.017857142857142856
54,Scout,0.048586348475630196,0.0,0.03571428571428571
55,Margaret,0.04295490606377834,0.0,0.03571428571428571
56,Shepherd,0.09175218149378074,0.0,0.05357142857142857
