,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Buckingham,0.12232958324001253,0.2264562834249246,0.21428571428571427
1,Norfolk,0.300241533764166,0.15881797902703826,0.26190476190476186
2,Abergavenny,0.05305190189311667,0.009290264516745358,0.07142857142857142
3,Wolsey,0.35292116606747087,0.22797055506114744,0.3571428571428571
4,Secretary,0.04202548934431087,0.0,0.023809523809523808
5,Brandon,0.022944706010279488,0.0005807200929152149,0.07142857142857142
6,Sergeant,0.017299478821558818,0.0,0.047619047619047616
7,Katharine,0.1924507591089214,0.21950067289788547,0.26190476190476186
8,KingHenry,0.3723391034823273,0.24842945801133953,0.40476190476190477
9,Surrey,0.24870347899490045,0.016333443946684362,0.16666666666666666
10,Chamberlain,0.3502366655197944,0.2428612908578065,0.3571428571428571
11,Sandys,0.11673717247835774,0.005897074276865217,0.09523809523809523
12,Lovell,0.20739713125883824,0.07917066802084223,0.19047619047619047
13,Guildford,0.04170553988351875,0.0,0.023809523809523808
14,Anne,0.06978260878314547,0.00038714672861014324,0.07142857142857142
15,Servant,0.08373102922782956,0.0,0.047619047619047616
16,1Gentleman,0.017086565319741988,0.023228803716608595,0.07142857142857142
17,2Gentleman,0.017086565319741988,0.023228803716608595,0.07142857142857142
18,Vaux,0.03926369702638131,0.0,0.047619047619047616
19,Suffolk,0.2568276923594575,0.001718194052688826,0.16666666666666666
20,Campeius,0.10928035700391922,0.0,0.07142857142857142
21,Gardiner,0.26880461475119455,0.06869927078986313,0.23809523809523808
22,OldLady,0.1190493667200249,0.006747414412919638,0.09523809523809523
23,Scribe,0.0963099851140092,0.0025390372951348563,0.07142857142857142
24,Crier,0.0835296728708571,0.010627177700348432,0.09523809523809523
25,Griffith,0.040359582425557095,0.0017421602787456446,0.09523809523809523
26,Lincoln,0.04433768358597802,0.0,0.023809523809523808
27,Gentlewoman,0.022917184073630456,0.0,0.023809523809523808
28,Cromwell,0.1963467778990605,0.008055082096893944,0.14285714285714285
29,3Gentleman,0.004069563083851182,0.0,0.047619047619047616
30,Patience,0.0314712267702887,0.0,0.07142857142857142
31,Messenger,0.0314712267702887,0.0,0.07142857142857142
32,Capuchius,0.022917184073630456,0.0,0.023809523809523808
33,Boy,0.03200869158354773,0.0,0.023809523809523808
34,Denny,0.04433768358597802,0.0,0.023809523809523808
35,Cranmer,0.2635463871234432,0.06728057076489131,0.23809523809523808
36,Keeper,0.11261574867123098,0.0028820224813256175,0.09523809523809523
37,Butts,0.0757202390157645,0.0,0.047619047619047616
38,Chancellor,0.11313695297675393,0.002608170639529524,0.09523809523809523
39,One,0.005824984581495678,0.0,0.047619047619047616
40,Porter,0.043092763841176523,0.09291521486643438,0.07142857142857142
41,Man,0.005824984581495678,0.0,0.047619047619047616
42,Garter,0.03138255542978653,0.0,0.023809523809523808
