,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Warwick,0.34955203198822876,0.3388493568885726,0.5217391304347826
1,York,0.23686971593833564,0.061665934709412965,0.2608695652173913
2,KingEdward,0.30720388129784004,0.18252929966058692,0.43478260869565216
3,Montague,0.1813674764312974,0.014725009526799813,0.17391304347826086
4,Gloucester,0.3335579465515725,0.1460340975686244,0.41304347826086957
5,Norfolk,0.10272896056789083,0.0,0.08695652173913043
6,KingHenry,0.28905062279712046,0.22099938598233573,0.3913043478260869
7,Northumberland,0.1950355795934128,0.00288599563109367,0.17391304347826086
8,Clifford,0.24704763965078033,0.13547244552359644,0.2826086956521739
9,Westmorland,0.1008009805852886,0.0,0.08695652173913043
10,Exeter,0.13758607530927788,0.001054018445322793,0.10869565217391304
11,QueenMargaret,0.29237568927227015,0.03431195079745804,0.30434782608695654
12,PrinceEdward,0.2417130060852391,0.03532567941988232,0.2391304347826087
13,1Messenger,0.08186196574015815,0.0,0.06521739130434782
14,SirJohn,0.022094136317484483,0.0,0.021739130434782608
15,Rutland,0.023043403783068267,0.0,0.021739130434782608
16,Tutor,0.023043403783068267,0.0,0.021739130434782608
17,2Messenger,0.032604552253405986,0.0,0.021739130434782608
18,3Messenger,0.023043403783068267,0.0,0.021739130434782608
19,Clarence,0.23329362675198756,0.05051986495081123,0.2391304347826087
20,Son,0.029734586135465448,0.0,0.043478260869565216
21,Father,0.029734586135465448,0.0,0.043478260869565216
22,1Keeper,0.029734586135465448,0.0,0.043478260869565216
23,2Keeper,0.029734586135465448,0.0,0.043478260869565216
24,LadyGrey,0.08224411170310987,0.043478260869565216,0.08695652173913043
25,Nobleman,0.028654854335547812,0.0,0.021739130434782608
26,KingLewis,0.09143031779987634,0.009685990338164249,0.10869565217391304
27,Oxford,0.21064782653219488,0.05310645071514637,0.21739130434782608
28,LadyBona,0.06840407699422503,0.0,0.06521739130434782
29,1Post,0.02817645501102745,0.00024154589371980676,0.043478260869565216
30,Somerset,0.19314699208811584,0.018840961066025008,0.17391304347826086
31,Hastings,0.11481059610009772,0.028462330035220064,0.15217391304347827
32,2Post,0.05041554687719557,0.0,0.043478260869565216
33,1Watchman,0.03855184427864096,0.017286548347929424,0.06521739130434782
34,2Watchman,0.05503073501991967,0.025708620734196178,0.08695652173913043
35,3Watchman,0.008729030556914938,0.0,0.043478260869565216
36,Rivers,0.00767151107444188,0.0,0.021739130434782608
37,Huntsman,0.05976782942302138,0.0,0.043478260869565216
38,Lieutenant,0.02696113251913504,0.0,0.021739130434782608
39,3Post,0.032604552253405986,0.0,0.021739130434782608
40,Mayor,0.0778865893196853,0.0,0.08695652173913043
41,Montgomery,0.07943253981728372,0.01553122874094741,0.10869565217391304
42,Soldier,0.01811875989701164,0.0,0.043478260869565216
43,4Messenger,0.032604552253405986,0.0,0.021739130434782608
44,5Messenger,0.032604552253405986,0.0,0.021739130434782608
45,Somerville,0.061259406588606076,0.0,0.043478260869565216
46,6Messenger,0.04219418069975015,0.0,0.043478260869565216
