,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Gaunt,0.17412930383643616,0.05630630630630631,0.13513513513513514
1,KingRichard,0.3865927690428731,0.35162305162305163,0.43243243243243246
2,Bolingbroke,0.44489696516298366,0.2632167882167882,0.5135135135135136
3,Mowbray,0.13293456291572509,0.0,0.08108108108108109
4,DuchessGlouc,0.022547040620750306,0.0,0.02702702702702703
5,Aumerle,0.3105827482031678,0.13448090948090946,0.35135135135135137
6,Marshal,0.19515768297677433,0.10833333333333334,0.1891891891891892
7,2Herald,0.029028750900137547,0.0,0.05405405405405406
8,1Herald,0.029028750900137547,0.0,0.05405405405405406
9,Green,0.1777140442681299,0.00972043472043472,0.13513513513513514
10,Bushy,0.21160141317273165,0.011472186472186473,0.16216216216216217
11,York,0.29559814007614604,0.10898040898040898,0.2702702702702703
12,Queen,0.18115193659006587,0.25237737737737737,0.21621621621621623
13,Northumberland,0.2563348125842542,0.06329901329901332,0.24324324324324326
14,Ross,0.10934392195175999,0.0,0.08108108108108109
15,Willoughby,0.14323129085636174,0.001001001001001001,0.10810810810810811
16,Servingman,0.038275232665184074,0.0,0.02702702702702703
17,Bagot,0.14823263109571527,0.0015515515515515514,0.10810810810810811
18,Percy,0.1310133009653847,0.0005505505505505505,0.08108108108108109
19,Berkeley,0.09079793680755675,0.0,0.05405405405405406
20,Salisbury,0.09181253559747733,0.05405405405405406,0.08108108108108109
21,WelshCaptain,0.011888323484818303,0.0,0.02702702702702703
22,Carlisle,0.19704099679014608,0.004804804804804805,0.13513513513513514
23,Scroop,0.09027316663686816,0.0,0.05405405405405406
24,1Lady,0.02345648888427482,0.0,0.02702702702702703
25,2Lady,0.02345648888427482,0.0,0.02702702702702703
26,Gardener,0.024270441803174503,0.1066066066066066,0.08108108108108109
27,1Man,0.003142743878950773,0.0,0.02702702702702703
28,2Man,0.003142743878950773,0.0,0.02702702702702703
29,Fitzwater,0.10478622245525761,0.006156156156156155,0.08108108108108109
30,Surrey,0.05378340287495748,0.0,0.05405405405405406
31,Abbot,0.12333577191556275,0.0,0.08108108108108109
32,DuchessOfYork,0.13609743546091946,0.0,0.08108108108108109
33,1Servant,0.014424593507245382,0.0,0.02702702702702703
34,Exton,0.11140017175423954,0.1066066066066066,0.10810810810810811
35,2Servant,0.014424593507245382,0.0,0.02702702702702703
36,Groom,0.05750375289938972,0.0,0.05405405405405406
37,Keeper,0.05750375289938972,0.0,0.05405405405405406
