,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,LordBardolph,0.013178425968197224,0.23671497584541062,0.10869565217391304
1,Porter,0.0014784524605809108,0.0,0.021739130434782608
2,Northumberland,0.0017373217703543526,0.12657004830917873,0.10869565217391304
3,Travers,0.0001949123772813524,0.0,0.021739130434782608
4,Morton,0.001673364837862263,0.0,0.043478260869565216
5,Falstaff,0.4002842103496325,0.46593663448735917,0.5
6,Page,0.2405756640930399,0.0019024614676788588,0.17391304347826086
7,Justice,0.28903688286071144,0.06377903363410609,0.2608695652173913
8,Servant,0.07732964703705529,0.0,0.043478260869565216
9,Archbishop,0.055653689634266736,0.1251207729468599,0.10869565217391304
10,Mowbray,0.05559772348218351,0.0178743961352657,0.10869565217391304
11,Hastings,0.05692704034586597,0.1497584541062802,0.13043478260869565
12,Fang,0.07629098182333784,0.008989223337049424,0.06521739130434782
13,Hostess,0.24386504359236416,0.10262491668288765,0.2391304347826087
14,Snare,0.03591568580767161,0.0,0.043478260869565216
15,Gower,0.07732964703705529,0.0,0.043478260869565216
16,Poins,0.1620788289695481,0.0,0.10869565217391304
17,PrinceHenry,0.3176809078944469,0.11830245975173512,0.2826086956521739
18,Bardolph,0.2667508056799658,0.029208649643432248,0.2608695652173913
19,LadyNorthld,0.00021954474019954837,0.0,0.043478260869565216
20,LadyPercy,0.00021954474019954837,0.0,0.043478260869565216
21,Drawer,0.028045034511117457,0.000644122383252818,0.043478260869565216
22,Francis,0.03050336686957909,0.0014492753623188406,0.043478260869565216
23,Doll,0.2194931635394334,0.05964649950157197,0.19565217391304346
24,Pistol,0.24532084887490746,0.04796300854271869,0.19565217391304346
25,Peto,0.03563828577473473,0.0,0.021739130434782608
26,KingHenry,0.21336423044634736,0.061600031744959274,0.19565217391304346
27,Warwick,0.1705745601275436,0.002700037482646178,0.15217391304347827
28,Shallow,0.164088869696009,0.008212560386473429,0.19565217391304346
29,Silence,0.10258332989488851,0.00024154589371980676,0.08695652173913043
30,Moldy,0.09323687781023995,0.0,0.06521739130434782
31,Shadow,0.06331236016723572,0.0,0.043478260869565216
32,Wart,0.04490466796927886,0.0,0.021739130434782608
33,Feeble,0.09323687781023995,0.0,0.06521739130434782
34,Bullcalf,0.09323687781023995,0.0,0.06521739130434782
35,Messenger,0.012623630268538586,0.0,0.043478260869565216
36,Westmorland,0.11025697373920403,0.021256038647342993,0.15217391304347827
37,Lancaster,0.26013149457632717,0.37071785970336707,0.2826086956521739
38,Coleville,0.07408712380136025,0.0,0.043478260869565216
39,Gloucester,0.15945308145425674,0.0,0.13043478260869565
40,Clarence,0.17057456012754363,0.002700037482646178,0.15217391304347827
41,Harcourt,0.023935938956172104,0.0,0.021739130434782608
42,Davy,0.10474481844526513,0.00024154589371980676,0.08695652173913043
43,Beadle,0.05198035881056817,0.0,0.043478260869565216
44,Groom1,0.0005797022646326335,0.0,0.021739130434782608
45,Groom2,0.005167546271925604,0.043478260869565216,0.043478260869565216
46,Groom3,0.0454843702339115,0.08502415458937197,0.043478260869565216
