,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,King,0.3490658783665117,0.22005924624649184,0.31343283582089554
1,Suffolk,0.2738148056313592,0.2379469894395268,0.26865671641791045
2,Queen,0.32039942784458164,0.08034273317516198,0.2537313432835821
3,York,0.3253797746618937,0.19812235229467262,0.2835820895522388
4,Gloucester,0.29972201181159663,0.18875144027789903,0.29850746268656714
5,Cardinal,0.24326340280277453,0.02092900942968786,0.16417910447761194
6,Salisbury,0.24330253806305202,0.023914363313956265,0.16417910447761194
7,Warwick,0.22620905793245372,0.006087079662384953,0.13432835820895522
8,Buckingham,0.26494266902021096,0.15802547997256275,0.208955223880597
9,Somerset,0.20458610135549726,0.0054532946323991105,0.11940298507462686
10,Duchess,0.16280916362355585,0.05960801221995253,0.13432835820895522
11,1Messenger,0.028436587286877552,0.0,0.014925373134328358
12,Hume,0.02006386224014781,0.0,0.029850746268656716
13,1Petitioner,0.06404409606148077,0.0,0.04477611940298507
14,2Petitioner,0.08081215655929785,0.0004615616555915064,0.05970149253731343
15,Peter,0.19350373870945628,0.040273822363374595,0.13432835820895522
16,Horner,0.12734979010813008,0.05720755198367141,0.1044776119402985
17,Bolingbroke,0.048663456933754845,0.06034976631991555,0.05970149253731343
18,Spirit,0.00465896968965004,0.028946178199909543,0.029850746268656716
19,Witch,0.00044202705563345477,0.0,0.014925373134328358
20,Townsman,0.08753350113477566,0.0,0.04477611940298507
21,Simpcox,0.1538317660381514,0.0077576928323196985,0.1044776119402985
22,Wife,0.09209013775894057,0.0,0.05970149253731343
23,Mayor,0.028436587286877552,0.0,0.014925373134328358
24,Beadle,0.043031584376650264,0.0,0.029850746268656716
25,1Neighbour,0.03126474137647153,0.024634403738881348,0.029850746268656716
26,2Neighbour,0.004150001855653446,0.0004522840343735866,0.029850746268656716
27,3Neighbour,0.012476271832632018,0.003859490426654605,0.029850746268656716
28,1Prentice,0.013949927632612297,0.0006784260515603799,0.029850746268656716
29,2Prentice,0.01968246622607877,0.0021364207931372104,0.029850746268656716
30,Servant,0.028436587286877552,0.0,0.014925373134328358
31,Herald,0.028436587286877552,0.0,0.014925373134328358
32,Sheriff,0.04388341763675708,0.0,0.029850746268656716
33,Stanley,0.04388341763675708,0.0,0.029850746268656716
34,Post,0.053951024960625864,0.0,0.029850746268656716
35,1Murderer,0.02621449653182324,0.028946178199909543,0.029850746268656716
36,2Murderer,0.002487117350790876,0.0,0.014925373134328358
37,Commons,0.08218065615015008,0.0,0.04477611940298507
38,Vaux,0.03039843127582123,0.0,0.014925373134328358
39,1Gentleman,0.033101108160718935,0.04236393788632595,0.07462686567164178
40,Lieutenant,0.032555216138085666,0.028116990803557968,0.05970149253731343
41,Master,0.003464692739967011,0.0003769033619779888,0.029850746268656716
42,Mate,0.0034173907291800056,0.0002261420171867933,0.029850746268656716
43,2Gentleman,0.006252464013313664,0.0,0.029850746268656716
44,Whitmore,0.032800883783538674,0.013945424393185584,0.05970149253731343
45,Bevis,0.007944803142188749,0.0011251098768059419,0.029850746268656716
46,Holland,0.008388448858207415,0.0022538821046283733,0.05970149253731343
47,Cade,0.056171915958282345,0.16016702404083677,0.19402985074626866
48,Dick,0.015379250363061666,0.003260320763712894,0.07462686567164178
49,Smith,0.008904847060014657,0.0005653550429669833,0.05970149253731343
50,Rebels,0.06831024799751283,0.0692030763095892,0.11940298507462686
51,Clerk,0.01327086055368628,0.00044286145032413694,0.04477611940298507
52,Michael,0.005329979063782091,0.0,0.014925373134328358
53,Stafford,0.013902574131880618,0.001905838269474633,0.05970149253731343
54,Brother,0.013130717111168679,0.0,0.04477611940298507
55,Saye,0.07534353735740924,0.058364698646245466,0.1044776119402985
56,2Messenger,0.03311838119924325,0.0,0.014925373134328358
57,3Messenger,0.03228582226509663,0.0,0.029850746268656716
58,1Citizen,2.1944080663413792e-14,0.0,0.014925373134328358
59,Scales,2.1944080663413792e-14,0.0,0.014925373134328358
60,Soldier,0.005329979063782091,0.0,0.014925373134328358
61,4Messenger,0.005329979063782091,0.0,0.014925373134328358
62,LordClifford,0.1594826721263221,0.030384250906638967,0.11940298507462686
63,5Messenger,0.03959981238099777,0.0,0.029850746268656716
64,Iden,0.09445649443537446,0.022189778787472133,0.05970149253731343
65,Edward,0.03087100422699041,0.0,0.014925373134328358
66,YoungClifford,0.024793280410595794,0.0,0.029850746268656716
67,Richard,0.1018368295723327,0.008853004375392435,0.07462686567164178
